,cluster,Major_Class,Acute_Chronic,Prod_Form
74433902,1,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74433906,1,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74433907,1,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74434119,2,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74434190,4,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74455211,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74455219,2,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74455290,4,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74518211,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74518219,4,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74518290,4,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74568113,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74568216,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74611411,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74611413,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74612290,4,,,
74612390,4,,,
74621213,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621413,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621453,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621513,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621553,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74634702,1,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74659419,4,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74659490,4,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74662411,5,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74662419,2,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74662490,4,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74663330,1,HIV ANTIVIRALS,CHRONIC,ORALS
74679922,1,HIV ANTIVIRALS,CHRONIC,ORALS
74706811,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706819,2,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706890,3,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706911,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706919,2,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706990,3,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74707019,2,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74707090,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74712611,3,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74712613,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74712653,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74714811,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74714819,2,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74714890,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74714919,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74714990,1,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74918990,3,,,
74929619,5,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74929690,2,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74937402,1,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74964290,3,,,
74969403,5,HYPOTHALAMIC HORMONES,ACUTE,OTHER SYSTEMICS
75002600,5,,,
75062040,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75062160,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75062280,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75062300,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75062430,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75062603,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75245201,5,,,
75291201,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75291501,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75800301,4,,,
75801301,4,ANTICOAGULANTS,ACUTE,INJECTABLES
75801310,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75801401,2,ANTICOAGULANTS,ACUTE,INJECTABLES
75801410,3,ANTICOAGULANTS,ACUTE,INJECTABLES
75801601,3,ANTICOAGULANTS,ACUTE,INJECTABLES
75801610,1,ANTICOAGULANTS,ACUTE,INJECTABLES
75801810,2,ANTICOAGULANTS,ACUTE,INJECTABLES
75802010,3,ANTICOAGULANTS,ACUTE,INJECTABLES
75802210,3,ANTICOAGULANTS,ACUTE,INJECTABLES
75802510,4,ANTICOAGULANTS,ACUTE,INJECTABLES
75803001,1,ANTICOAGULANTS,ACUTE,INJECTABLES
78010901,5,IMMUNOSUPPRESSANTS,ACUTE,INJECTABLES
78011022,5,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78012605,5,,,
78012705,4,,,
78017915,1,SYST ANTIFUNGALS,ACUTE,ORALS
78018001,1,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78018101,3,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78018201,4,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78024015,2,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024061,5,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024115,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024161,5,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024615,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024661,3,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024815,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024861,4,,,
78024915,1,ONCOLOGICS,CHRONIC,ORALS
78027422,5,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78031434,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78031534,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78032444,3,,,
78032544,3,,,
78032644,3,,,
78032705,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78033705,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78035105,4,,,
78035205,1,ANTIDIABETICS,CHRONIC,ORALS
78035405,1,LIPID REGULATORS,CHRONIC,ORALS
78035415,1,LIPID REGULATORS,CHRONIC,ORALS
78035752,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78035834,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78035934,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78036034,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78036405,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78036715,3,,,
78036815,3,,,
78037005,1,ADHD,CHRONIC,ORALS
78037105,1,ADHD,CHRONIC,ORALS
78037205,1,ADHD,CHRONIC,ORALS
78037905,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78038005,1,ADHD,CHRONIC,ORALS
78038105,1,ADHD,CHRONIC,ORALS
78038205,1,ADHD,CHRONIC,ORALS
78038334,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78038566,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78038666,1,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78040134,1,ONCOLOGICS,ACUTE,ORALS
78040505,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78040605,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78040705,3,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78040805,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78040905,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78041420,4,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78041520,4,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78041720,5,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78042220,5,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78042315,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78042405,1,ADHD,CHRONIC,ORALS
78043005,4,ADHD,CHRONIC,ORALS
78043105,4,ADHD,CHRONIC,ORALS
78043205,4,ADHD,CHRONIC,ORALS
78043305,4,ADHD,CHRONIC,ORALS
78043405,4,ADHD,CHRONIC,ORALS
78043561,3,OSTEOPOROSIS,CHRONIC,INJECTABLES
78043905,1,ADHD,CHRONIC,ORALS
78044005,1,ADHD,CHRONIC,ORALS
78044105,3,ADHD,CHRONIC,ORALS
78045605,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78045705,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78046791,2,ALL OTHER THERAPEUTICS,ACUTE,INJECTABLES
78046815,1,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78046915,1,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78047015,1,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78047134,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78047234,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78048515,3,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78048615,3,,,
78048815,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78048915,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78049015,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78049115,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78049305,4,ADHD,CHRONIC,ORALS
78049958,3,,,
78049959,3,,,
78049962,4,,,
78050058,3,,,
78050059,3,,,
78050115,1,ANTI-ALZHEIMERS,CHRONIC,INSERTS/IMPLANTS
78050161,3,,,
78050215,1,ANTI-ALZHEIMERS,CHRONIC,INSERTS/IMPLANTS
78050261,4,,,
78050315,1,ANTI-ALZHEIMERS,CHRONIC,INSERTS/IMPLANTS
78050361,4,ANTI-ALZHEIMERS,CHRONIC,INSERTS/IMPLANTS
78050883,2,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78050905,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78051005,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78051105,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78051205,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78052115,3,,,
78052215,3,,,
78052315,3,,,
78052415,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78052651,1,ONCOLOGICS,ACUTE,ORALS
78052687,5,ONCOLOGICS,ACUTE,ORALS
78052705,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78053815,3,,,
78054405,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78054505,1,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78055915,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78055930,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056015,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056030,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056115,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056130,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056215,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056230,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056315,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056330,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056651,2,ONCOLOGICS,ACUTE,ORALS
78056661,4,ONCOLOGICS,ACUTE,ORALS
78056751,5,ONCOLOGICS,ACUTE,ORALS
78056761,4,ONCOLOGICS,ACUTE,ORALS
78056845,4,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ACUTE,ORALS
78058261,3,IMMUNOLOGY,CHRONIC,INJECTABLES
78059061,1,BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,CHRONIC,INJECTABLES
78059251,1,ONCOLOGICS,ACUTE,ORALS
78059287,5,ONCOLOGICS,ACUTE,ORALS
78059451,2,ONCOLOGICS,ACUTE,ORALS
78059520,4,,,
78059620,3,,,
78059820,3,,,
78060120,3,,,
78060715,4,MULTIPLE SCLEROSIS,CHRONIC,ORALS
78060805,3,ADHD,CHRONIC,ORALS
78060905,3,ADHD,CHRONIC,ORALS
78061915,1,RESPIRATORY AGENTS,CHRONIC,LUNG
78062051,2,ONCOLOGICS,ACUTE,ORALS
78062651,5,ONCOLOGICS,ACUTE,ORALS
78062751,5,ONCOLOGICS,ACUTE,ORALS
78062851,5,ONCOLOGICS,ACUTE,ORALS
78063011,3,ANTIBACTERIALS,ACUTE,INHALANTS
78063019,4,,,
78063035,4,ANTIBACTERIALS,ACUTE,INHALANTS
78063056,5,ANTIBACTERIALS,ACUTE,INHALANTS
78063320,1,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78063420,1,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78063520,3,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78063941,5,IMMUNOLOGY,CHRONIC,INJECTABLES
78063968,5,IMMUNOLOGY,CHRONIC,INJECTABLES
78063997,5,IMMUNOLOGY,CHRONIC,INJECTABLES
78063998,5,IMMUNOLOGY,CHRONIC,INJECTABLES
78064070,1,ONCOLOGICS,ACUTE,ORALS
78064181,1,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78064281,1,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78064381,1,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78064515,1,ONCOLOGICS,ACUTE,ORALS
78064681,1,HYPOTHALAMIC HORMONES,ACUTE,OTHER SYSTEMICS
78064781,3,,,
78064881,3,,,
78064930,1,ONCOLOGICS,ACUTE,ORALS
78065006,3,ONCOLOGICS,ACUTE,ORALS
78065106,2,ONCOLOGICS,ACUTE,ORALS
78065206,2,ONCOLOGICS,ACUTE,ORALS
78065415,1,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78065515,2,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78065615,1,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78065815,3,,,
78065920,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78065935,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78065961,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78065967,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78066419,5,RESPIRATORY AGENTS,CHRONIC,LUNG
78066615,5,ONCOLOGICS,ACUTE,ORALS
78066815,5,ONCOLOGICS,ACUTE,ORALS
78067066,1,ONCOLOGICS,ACUTE,ORALS
78067119,4,ONCOLOGICS,ACUTE,ORALS
78067201,5,ONCOLOGICS,ACUTE,ORALS
78067301,5,ONCOLOGICS,ACUTE,ORALS
78067515,5,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
78067615,5,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
78067919,2,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
78068019,2,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
78068166,5,ONCOLOGICS,ACUTE,ORALS
78068266,5,ONCOLOGICS,ACUTE,ORALS
78068415,5,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
78068515,5,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
78068615,5,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
78068715,5,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
78069484,5,ONCOLOGICS,ACUTE,ORALS
78069620,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78069635,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78069667,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78069802,5,ONCOLOGICS,ACUTE,ORALS
78069819,5,ONCOLOGICS,ACUTE,ORALS
78069851,5,ONCOLOGICS,ACUTE,ORALS
78069899,5,ONCOLOGICS,ACUTE,ORALS
78070184,5,ONCOLOGICS,ACUTE,ORALS
78070802,5,ONCOLOGICS,ACUTE,ORALS
78071315,5,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78071502,5,ONCOLOGICS,ACUTE,ORALS
78072015,5,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78072019,4,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78072715,5,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78073461,5,IMMUNOLOGY,CHRONIC,INJECTABLES
78074881,5,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78077720,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78077735,1,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78077767,5,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78081181,5,HYPOTHALAMIC HORMONES,ACUTE,OTHER SYSTEMICS
78081881,5,HYPOTHALAMIC HORMONES,ACUTE,OTHER SYSTEMICS
78082581,5,HYPOTHALAMIC HORMONES,ACUTE,OTHER SYSTEMICS
78082761,5,OCULAR ANTINEOVASCULARISATION,ACUTE,INJECTABLES
78086001,5,ONCOLOGICS,ACUTE,ORALS
78086714,5,ONCOLOGICS,ACUTE,ORALS
78086742,5,ONCOLOGICS,ACUTE,ORALS
78087421,5,ONCOLOGICS,ACUTE,ORALS
78087463,5,ONCOLOGICS,ACUTE,ORALS
78090961,5,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
78091661,5,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
78092361,5,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
78095166,5,ONCOLOGICS,ACUTE,ORALS
78097261,5,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
78097950,5,MULTIPLE SCLEROSIS,CHRONIC,ORALS
78098615,5,MULTIPLE SCLEROSIS,CHRONIC,ORALS
85037001,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85037002,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85051701,4,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85051704,3,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85053901,4,,,
85056605,3,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
85057102,4,,,
85057502,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85057505,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85092401,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85092402,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85096201,3,,,
85096202,3,,,
85113201,1,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85113204,5,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85113301,1,"INTERFERONS, EXCL MS MARKET",CHRONIC,INJECTABLES
85116801,1,"INTERFERONS, EXCL MS MARKET",CHRONIC,INJECTABLES
85126401,1,"ALLERGY, SYSTEMIC & NASAL",CHRONIC,ORALS
85128801,1,"NASAL PREPS, TOPICAL",CHRONIC,NASAL
85129701,4,,,
85131801,4,VIRAL HEPATITIS,ACUTE,ORALS
85132201,1,"ALLERGY, SYSTEMIC & NASAL",ACUTE,ORALS
85132301,4,,,
85132801,1,SYST ANTIFUNGALS,ACUTE,ORALS
85133401,1,"ALLERGY, SYSTEMIC & NASAL",CHRONIC,ORALS
85134101,1,RESPIRATORY AGENTS,CHRONIC,LUNG
85134102,1,RESPIRATORY AGENTS,CHRONIC,LUNG
85134106,1,RESPIRATORY AGENTS,CHRONIC,LUNG
85134107,1,RESPIRATORY AGENTS,CHRONIC,LUNG
85136603,5,ONCOLOGICS,ACUTE,ORALS
85136604,1,ONCOLOGICS,ACUTE,ORALS
85137001,4,,,
85140101,3,,,
85140201,3,,,
85141702,3,ONCOLOGICS,ACUTE,ORALS
85142503,5,ONCOLOGICS,ACUTE,ORALS
85142504,1,ONCOLOGICS,ACUTE,ORALS
85143003,3,ONCOLOGICS,ACUTE,ORALS
85146102,1,RESPIRATORY AGENTS,CHRONIC,LUNG
85151903,5,ONCOLOGICS,ACUTE,ORALS
85151904,1,ONCOLOGICS,ACUTE,ORALS
85173301,3,,,
85173303,5,,,
85173701,3,,,
85222201,5,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85222301,5,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85314901,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85314903,1,DERMATOLOGICS,ACUTE,DERMATOLOGICALS
85432001,4,"CORTICOSTEROIDS, PLAIN & COMBO",ACUTE,INJECTABLES
85432402,2,SYST ANTIFUNGALS,ACUTE,ORALS
85433301,5,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85433401,4,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85435001,1,"INTERFERONS, EXCL MS MARKET",CHRONIC,INJECTABLES
85435101,1,"INTERFERONS, EXCL MS MARKET",CHRONIC,INJECTABLES
85435201,1,"INTERFERONS, EXCL MS MARKET",CHRONIC,INJECTABLES
85435301,2,VIRAL HEPATITIS,ACUTE,OTHER SYSTEMICS
85461001,1,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85461005,1,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85720601,1,RESPIRATORY AGENTS,CHRONIC,INHALANTS
85720607,1,RESPIRATORY AGENTS,CHRONIC,INHALANTS
87606005,1,ANTIDIABETICS,CHRONIC,ORALS
87606010,3,,,
87606313,1,ANTIDIABETICS,CHRONIC,ORALS
87606413,1,ANTIDIABETICS,CHRONIC,ORALS
87607005,1,ANTIDIABETICS,CHRONIC,ORALS
87607111,1,ANTIDIABETICS,CHRONIC,ORALS
87607311,1,ANTIDIABETICS,CHRONIC,ORALS
87607411,1,ANTIDIABETICS,CHRONIC,ORALS
87663241,5,HIV ANTIVIRALS,CHRONIC,ORALS
87663341,4,,,
87667117,4,HIV ANTIVIRALS,CHRONIC,ORALS
87667317,4,HIV ANTIVIRALS,CHRONIC,ORALS
87667417,1,HIV ANTIVIRALS,CHRONIC,ORALS
88057641,4,ANTITUBERCULARS,CHRONIC,ORALS
88210003,3,,,
88210024,1,ANTITUBERCULARS,CHRONIC,ORALS
88210032,1,ANTITUBERCULARS,CHRONIC,ORALS
88210224,5,ANTITUBERCULARS,CHRONIC,ORALS
88216030,1,IMMUNOLOGY,CHRONIC,ORALS
88216130,1,IMMUNOLOGY,CHRONIC,ORALS
88221900,4,ANTIDIABETICS,CHRONIC,INJECTABLES
88221905,4,ANTIDIABETICS,CHRONIC,INJECTABLES
88222033,1,ANTIDIABETICS,CHRONIC,INJECTABLES
88222541,4,,,
88250033,1,ANTIDIABETICS,CHRONIC,INJECTABLES
88250205,1,ANTIDIABETICS,CHRONIC,INJECTABLES
88502005,5,ANTIDIABETICS,CHRONIC,INJECTABLES
88502101,5,ANTIDIABETICS,CHRONIC,INJECTABLES
131181067,2,NERVOUS SYSTEM DISORDERS,CHRONIC,INJECTABLES
131247735,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131247760,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131247835,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131247860,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131247935,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131247960,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131248035,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131248060,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131541070,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
131541071,5,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
140000401,1,OTHER CNS,CHRONIC,ORALS
140000501,1,OTHER CNS,CHRONIC,ORALS
140000514,1,OTHER CNS,CHRONIC,ORALS
140000601,1,OTHER CNS,CHRONIC,ORALS
140000614,1,OTHER CNS,CHRONIC,ORALS
143954601,5,ONCOLOGICS,ACUTE,INJECTABLES
143954701,5,ONCOLOGICS,ACUTE,INJECTABLES
143954801,5,ONCOLOGICS,ACUTE,INJECTABLES
145009025,1,DERMATOLOGICS,ACUTE,ORALS
145009125,1,DERMATOLOGICS,ACUTE,ORALS
145381703,4,DERMATOLOGICS,ACUTE,ORALS
169008181,3,,,
169008281,3,,,
169008481,3,,,
169183311,1,ANTIDIABETICS,CHRONIC,INJECTABLES
169183411,1,ANTIDIABETICS,CHRONIC,INJECTABLES
169183711,1,ANTIDIABETICS,CHRONIC,INJECTABLES
169255013,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169266015,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169266211,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169280015,5,"ANTI-OBESITY PREPS, EXCL. DIETETICS",ACUTE,INJECTABLES
169291115,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169300315,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169300415,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169300425,4,ANTIDIABETICS,CHRONIC,INJECTABLES
169300701,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169300715,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169320111,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169320415,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169320515,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169330312,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169368512,1,ANTIDIABETICS,CHRONIC,INJECTABLES
169368712,1,ANTIDIABETICS,CHRONIC,INJECTABLES
169369619,1,ANTIDIABETICS,CHRONIC,INJECTABLES
169406012,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169406013,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169413212,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169413602,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169430313,5,ANTIDIABETICS,CHRONIC,ORALS
169430713,5,ANTIDIABETICS,CHRONIC,ORALS
169431413,5,ANTIDIABETICS,CHRONIC,ORALS
169633910,5,ANTIDIABETICS,CHRONIC,INJECTABLES
169643810,4,ANTIDIABETICS,CHRONIC,INJECTABLES
169750111,1,ANTIDIABETICS,CHRONIC,INJECTABLES
173013555,1,MENTAL HEALTH,CHRONIC,ORALS
173034442,3,ANTI-ULCERANTS,CHRONIC,ORALS
173038879,1,"NASAL PREPS, TOPICAL",CHRONIC,NASAL
173039340,1,ANTI-ULCERANTS,CHRONIC,ORALS
173039400,3,,,
