ndc,cluster,class,acute_chronic,form
69153068,99,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69153072,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69153130,218,ONCOLOGICS,ACUTE,ORALS
69154041,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69154068,99,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69197512,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69197540,99,OTHER CARDIOVASCULARS,ACUTE,ORALS
69215030,218,LIPID REGULATORS,ACUTE,ORALS
69216030,218,LIPID REGULATORS,ACUTE,ORALS
69217030,218,LIPID REGULATORS,ACUTE,ORALS
69218030,218,LIPID REGULATORS,ACUTE,ORALS
69219030,218,LIPID REGULATORS,ACUTE,ORALS
69225030,218,LIPID REGULATORS,ACUTE,ORALS
69226030,218,LIPID REGULATORS,ACUTE,ORALS
69227030,218,LIPID REGULATORS,ACUTE,ORALS
69229930,218,ONCOLOGICS,ACUTE,ORALS
69260066,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69265066,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69265072,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69266066,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69266072,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69267066,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
69305107,218,ANTIBACTERIALS,ACUTE,ORALS
69305175,218,ANTIBACTERIALS,ACUTE,ORALS
69306030,218,ANTIBACTERIALS,ACUTE,ORALS
69306075,99,ANTIBACTERIALS,ACUTE,ORALS
69306086,218,ANTIBACTERIALS,ACUTE,ORALS
69307030,218,ANTIBACTERIALS,ACUTE,ORALS
69307075,218,ANTIBACTERIALS,ACUTE,ORALS
69307086,218,ANTIBACTERIALS,ACUTE,ORALS
69311019,218,ANTIBACTERIALS,ACUTE,ORALS
69312019,218,ANTIBACTERIALS,ACUTE,ORALS
69313019,218,ANTIBACTERIALS,ACUTE,ORALS
69314019,218,ANTIBACTERIALS,ACUTE,ORALS
69322066,218,PAIN,CHRONIC,ORALS
69323066,218,PAIN,CHRONIC,ORALS
69417034,218,ANTIBACTERIALS,ACUTE,ORALS
69419068,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69420030,279,ERECTILE DYSFUNCTION,CHRONIC,ORALS
69421030,140,ERECTILE DYSFUNCTION,CHRONIC,ORALS
69421033,218,ERECTILE DYSFUNCTION,CHRONIC,ORALS
69421066,279,ERECTILE DYSFUNCTION,CHRONIC,ORALS
69422030,121,ERECTILE DYSFUNCTION,CHRONIC,ORALS
69422032,218,ERECTILE DYSFUNCTION,CHRONIC,ORALS
69422033,99,ERECTILE DYSFUNCTION,CHRONIC,ORALS
69422066,297,ERECTILE DYSFUNCTION,CHRONIC,ORALS
69431071,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",ACUTE,ORALS
69437071,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",ACUTE,ORALS
69541066,218,OTHER CNS,CHRONIC,ORALS
69542066,218,OTHER CNS,CHRONIC,ORALS
69580043,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69580060,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69581043,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69581060,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69582043,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69582060,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69600121,218,NERVOUS SYSTEM DISORDERS,CHRONIC,INJECTABLES
69600125,218,NERVOUS SYSTEM DISORDERS,CHRONIC,INJECTABLES
69814020,96,ONCOLOGICS,ACUTE,ORALS
69814120,99,ONCOLOGICS,ACUTE,ORALS
69873001,218,OTHER CARDIOVASCULARS,ACUTE,ORALS
69873030,243,OTHER CARDIOVASCULARS,ACUTE,ORALS
71000724,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71000740,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71015523,206,LIPID REGULATORS,CHRONIC,ORALS
71015540,218,LIPID REGULATORS,CHRONIC,ORALS
71015623,206,LIPID REGULATORS,CHRONIC,ORALS
71015640,218,LIPID REGULATORS,CHRONIC,ORALS
71015723,206,LIPID REGULATORS,CHRONIC,ORALS
71015740,218,LIPID REGULATORS,CHRONIC,ORALS
71015773,218,LIPID REGULATORS,CHRONIC,ORALS
71015823,99,LIPID REGULATORS,CHRONIC,ORALS
71015873,218,LIPID REGULATORS,CHRONIC,ORALS
71022023,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
71023724,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71035060,218,MENTAL HEALTH,CHRONIC,ORALS
71036924,99,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71036932,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71036940,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71040124,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71051324,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71052524,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71052723,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
71053023,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
71053223,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
71053523,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
71073720,218,LIPID REGULATORS,CHRONIC,ORALS
71080324,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71080524,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71080540,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71080624,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101268,271,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101341,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101368,193,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101441,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101468,193,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101541,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101568,193,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101641,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101668,193,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101768,220,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101868,271,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71101968,206,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71102001,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71102601,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71102701,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71102901,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71201223,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71221420,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71241823,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
71374066,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74003301,197,MULTIPLE SCLEROSIS,CHRONIC,INJECTABLES
74003828,243,HYPOTHALAMIC HORMONES,ACUTE,ORALS
74003956,99,HYPOTHALAMIC HORMONES,ACUTE,ORALS
74006328,0,VIRAL HEPATITIS,ACUTE,ORALS
74006702,243,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74012403,101,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74024302,27,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74052260,218,HIV ANTIVIRALS,CHRONIC,ORALS
74055402,4,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74056111,218,ONCOLOGICS,ACUTE,ORALS
74056114,218,ONCOLOGICS,ACUTE,ORALS
74056607,218,ONCOLOGICS,ACUTE,ORALS
74056611,218,ONCOLOGICS,ACUTE,ORALS
74057611,218,ONCOLOGICS,ACUTE,ORALS
74057622,296,ONCOLOGICS,ACUTE,ORALS
74057634,218,ONCOLOGICS,ACUTE,ORALS
74057928,218,ONCOLOGICS,ACUTE,ORALS
74061602,260,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74081702,243,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74105205,96,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,OTHER SYSTEMICS
74105305,220,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",ACUTE,OTHER SYSTEMICS
74153903,152,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74165801,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,INJECTABLES
74194063,218,HIV ANTIVIRALS,CHRONIC,ORALS
74204202,18,IMMUNOLOGY,ACUTE,OTHER SYSTEMICS
74210803,96,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74228203,85,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74230630,299,IMMUNOLOGY,CHRONIC,ORALS
74244003,149,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74254003,243,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74262528,229,VIRAL HEPATITIS,ACUTE,ORALS
74262580,218,VIRAL HEPATITIS,ACUTE,ORALS
74309328,0,VIRAL HEPATITIS,ACUTE,ORALS
74316190,218,LIPID REGULATORS,CHRONIC,ORALS
74316290,218,LIPID REGULATORS,CHRONIC,ORALS
74317390,218,LIPID REGULATORS,CHRONIC,ORALS
74318990,218,LIPID REGULATORS,CHRONIC,ORALS
74328713,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
74328913,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
74329013,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
74333330,271,HIV ANTIVIRALS,CHRONIC,ORALS
74334603,115,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74339930,218,HIV ANTIVIRALS,CHRONIC,ORALS
74347303,282,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74364103,236,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74364203,149,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74366303,70,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74368303,289,ONCOLOGICS,ACUTE,OTHER SYSTEMICS
74372719,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74372790,206,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74377903,294,HYPOTHALAMIC HORMONES,ACUTE,OTHER SYSTEMICS
74379902,30,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74379903,0,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74379906,99,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74382611,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74382613,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74395646,218,HIV ANTIVIRALS,CHRONIC,ORALS
74431430,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74431730,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74433902,3,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74433906,225,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74433907,139,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74434119,99,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74434190,206,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74455211,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74455219,206,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74455290,96,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74518211,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74518219,206,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74518290,96,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74568113,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74568216,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74611411,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74611413,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621213,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621413,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621453,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621513,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74621553,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74634702,206,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74659419,99,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74659490,96,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74662411,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74662419,206,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74662490,96,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74663330,218,HIV ANTIVIRALS,CHRONIC,ORALS
74679922,99,HIV ANTIVIRALS,CHRONIC,ORALS
74706811,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706819,99,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706890,96,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706911,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706919,99,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74706990,206,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74707019,99,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74707090,206,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74712611,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74712613,99,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74712653,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
74714811,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74714819,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74714890,99,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74714919,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74714990,218,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74929619,99,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74929690,96,THYROID ANTI-THYROID AND IODINE PREPS,CHRONIC,ORALS
74937402,273,IMMUNOLOGY,CHRONIC,OTHER SYSTEMICS
74969403,51,HYPOTHALAMIC HORMONES,ACUTE,OTHER SYSTEMICS
75062040,0,ANTICOAGULANTS,ACUTE,INJECTABLES
75062160,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75062280,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75062300,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75062430,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75062603,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75291201,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75291501,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75801301,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75801310,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75801401,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75801410,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75801601,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75801610,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75801810,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75802010,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75802210,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75802510,218,ANTICOAGULANTS,ACUTE,INJECTABLES
75803001,218,ANTICOAGULANTS,ACUTE,INJECTABLES
78010901,218,IMMUNOSUPPRESSANTS,ACUTE,INJECTABLES
78011022,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78017915,218,SYST ANTIFUNGALS,ACUTE,ORALS
78018001,218,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78018101,218,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78018201,218,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78024015,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024061,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024115,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024161,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024615,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024661,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024815,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78024915,218,ONCOLOGICS,CHRONIC,ORALS
78027422,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78031434,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78031534,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78032705,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78033705,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78035205,218,ANTIDIABETICS,CHRONIC,ORALS
78035405,218,LIPID REGULATORS,CHRONIC,ORALS
78035415,218,LIPID REGULATORS,CHRONIC,ORALS
78035752,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78035834,99,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78035934,99,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78036034,99,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78036405,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78037005,218,ADHD,CHRONIC,ORALS
78037105,218,ADHD,CHRONIC,ORALS
78037205,218,ADHD,CHRONIC,ORALS
78037905,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78038005,218,ADHD,CHRONIC,ORALS
78038105,218,ADHD,CHRONIC,ORALS
78038205,218,ADHD,CHRONIC,ORALS
78038334,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78038566,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78038666,99,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78040134,206,ONCOLOGICS,ACUTE,ORALS
78040505,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78040605,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78040705,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78040805,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78040905,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78041420,99,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78041520,99,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78041720,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78042220,218,IMMUNOSUPPRESSANTS,ACUTE,ORALS
78042315,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78042405,218,ADHD,CHRONIC,ORALS
78043005,206,ADHD,CHRONIC,ORALS
78043105,220,ADHD,CHRONIC,ORALS
78043205,96,ADHD,CHRONIC,ORALS
78043305,206,ADHD,CHRONIC,ORALS
78043405,206,ADHD,CHRONIC,ORALS
78043561,218,OSTEOPOROSIS,CHRONIC,INJECTABLES
78043905,218,ADHD,CHRONIC,ORALS
78044005,218,ADHD,CHRONIC,ORALS
78044105,218,ADHD,CHRONIC,ORALS
78045605,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78045705,99,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78046791,218,ALL OTHER THERAPEUTICS,ACUTE,INJECTABLES
78046815,218,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78046915,218,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78047015,206,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78047134,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78047234,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78048515,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78048815,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78048915,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78049015,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78049115,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78049305,96,ADHD,CHRONIC,ORALS
78050115,206,ANTI-ALZHEIMERS,CHRONIC,INSERTS/IMPLANTS
78050215,96,ANTI-ALZHEIMERS,CHRONIC,INSERTS/IMPLANTS
78050315,206,ANTI-ALZHEIMERS,CHRONIC,INSERTS/IMPLANTS
78050361,218,ANTI-ALZHEIMERS,CHRONIC,INSERTS/IMPLANTS
78050883,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78050905,99,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78051005,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78051105,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78051205,99,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78052415,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78052651,218,ONCOLOGICS,ACUTE,ORALS
78052687,96,ONCOLOGICS,ACUTE,ORALS
78052705,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78054405,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78054505,218,NERVOUS SYSTEM DISORDERS,CHRONIC,ORALS
78055915,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78055930,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056015,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056030,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056115,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056130,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056215,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056230,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056315,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056330,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78056651,85,ONCOLOGICS,ACUTE,ORALS
78056661,218,ONCOLOGICS,ACUTE,ORALS
78056751,289,ONCOLOGICS,ACUTE,ORALS
78056761,218,ONCOLOGICS,ACUTE,ORALS
78056845,218,"ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ACUTE,ORALS
78058261,131,IMMUNOLOGY,CHRONIC,INJECTABLES
78059061,218,BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,CHRONIC,INJECTABLES
78059251,99,ONCOLOGICS,ACUTE,ORALS
78059287,127,ONCOLOGICS,ACUTE,ORALS
78059451,96,ONCOLOGICS,ACUTE,ORALS
78060715,192,MULTIPLE SCLEROSIS,CHRONIC,ORALS
78060805,206,ADHD,CHRONIC,ORALS
78060905,99,ADHD,CHRONIC,ORALS
78061915,218,RESPIRATORY AGENTS,CHRONIC,LUNG
78062051,220,ONCOLOGICS,ACUTE,ORALS
78062651,99,ONCOLOGICS,ACUTE,ORALS
78062751,99,ONCOLOGICS,ACUTE,ORALS
78062851,206,ONCOLOGICS,ACUTE,ORALS
78063011,218,ANTIBACTERIALS,ACUTE,INHALANTS
78063035,99,ANTIBACTERIALS,ACUTE,INHALANTS
78063056,218,ANTIBACTERIALS,ACUTE,INHALANTS
78063320,218,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78063420,218,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78063520,218,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78063941,37,IMMUNOLOGY,CHRONIC,INJECTABLES
78063968,69,IMMUNOLOGY,CHRONIC,INJECTABLES
78063997,118,IMMUNOLOGY,CHRONIC,INJECTABLES
78063998,143,IMMUNOLOGY,CHRONIC,INJECTABLES
78064070,218,ONCOLOGICS,ACUTE,ORALS
78064181,0,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78064281,279,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78064381,279,HYPOTHALAMIC HORMONES,ACUTE,INJECTABLES
78064515,218,ONCOLOGICS,ACUTE,ORALS
78064681,279,HYPOTHALAMIC HORMONES,ACUTE,OTHER SYSTEMICS
78064930,33,ONCOLOGICS,ACUTE,ORALS
78065006,99,ONCOLOGICS,ACUTE,ORALS
78065106,99,ONCOLOGICS,ACUTE,ORALS
78065206,206,ONCOLOGICS,ACUTE,ORALS
78065415,218,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78065515,99,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78065615,220,ALL OTHER THERAPEUTICS,ACUTE,ORALS
78065920,182,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78065935,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78065961,218,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78065967,99,"ANTIHYPERTENSIVES, PLAIN & COMBO",CHRONIC,ORALS
78066419,218,RESPIRATORY AGENTS,CHRONIC,LUNG
78066615,99,ONCOLOGICS,ACUTE,ORALS
78066815,127,ONCOLOGICS,ACUTE,ORALS
78067066,220,ONCOLOGICS,ACUTE,ORALS
78067119,99,ONCOLOGICS,ACUTE,ORALS
78067201,218,ONCOLOGICS,ACUTE,ORALS
78067301,99,ONCOLOGICS,ACUTE,ORALS
78067515,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
78067615,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
78067919,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
78068019,218,"CANCER DETOX AG, ANTI-NAUSEANTS",ACUTE,ORALS
78068166,206,ONCOLOGICS,ACUTE,ORALS
78068266,99,ONCOLOGICS,ACUTE,ORALS
78068415,99,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
78068515,296,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
78068615,85,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
78068715,127,THROMBOPOIETIN AGONISTS,CHRONIC,ORALS
